Rk,Year,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2022-2023,Milwaukee Bucks,82,241.8,42.7,90.4,0.473,14.8,40.3,0.368,27.9,50.1,0.557,16.6,22.4,0.743,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,116.9
2,2022-2023,Boston Celtics,82,243.7,42.2,88.8,0.475,16,42.6,0.377,26.2,46.2,0.567,17.5,21.6,0.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9
3,2022-2023,Philadelphia 76ers,82,242.4,40.8,83.8,0.487,12.6,32.6,0.387,28.2,51.2,0.551,21,25.1,0.835,8.7,32.2,40.9,25.2,7.7,4.7,13.7,20.4,115.2
4,2022-2023,Denver Nuggets,82,240.9,43.6,86.4,0.504,11.8,31.2,0.379,31.8,55.2,0.575,16.8,22.4,0.751,10.1,32.9,43,28.9,7.5,4.5,14.5,18.6,115.8
5,2022-2023,Cleveland Cavaliers,82,242.4,41.6,85.2,0.488,11.6,31.6,0.367,30,53.6,0.559,17.5,22.5,0.78,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19,112.3
6,2022-2023,Memphis Grizzlies,82,241.2,43.7,92.1,0.475,12,34.2,0.351,31.7,57.9,0.548,17.5,23.8,0.733,12,34.6,46.6,26,8.3,5.8,13.6,20,116.9
7,2022-2023,Sacramento Kings,82,241.8,43.6,88.2,0.494,13.8,37.3,0.369,29.8,50.9,0.586,19.8,25.1,0.79,9.5,32.9,42.5,27.3,7,3.4,13.5,19.7,120.7
8,2022-2023,New York Knicks,82,243.4,42,89.4,0.47,12.6,35.7,0.354,29.4,53.6,0.547,19.4,25.5,0.761,12.6,34,46.6,22.9,6.4,4.1,13,20.3,116
9,2022-2023,Brooklyn Nets,82,240.6,41.5,85.1,0.487,12.8,33.8,0.378,28.7,51.3,0.559,17.7,22.1,0.8,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,113.4
10,2022-2023,Phoenix Suns,82,241.2,42.1,90.1,0.467,12.2,32.6,0.374,29.9,57.5,0.52,17.2,21.7,0.793,11.8,32.4,44.2,27.3,7.1,5.3,13.5,21.2,113.6
11,2022-2023,Golden State Warriors,82,241.8,43.1,90.2,0.479,16.6,43.2,0.385,26.5,47,0.564,16,20.2,0.794,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,118.9
12,2022-2023,Los Angeles Clippers,82,241.8,41.1,86.1,0.477,12.7,33.4,0.381,28.4,52.7,0.539,18.7,23.9,0.781,9.8,33.4,43.2,23.9,7.1,4.4,14.2,19.5,113.6
13,2022-2023,Miami Heat,82,241.5,39.2,85.3,0.46,12,34.8,0.344,27.3,50.5,0.54,19.1,23,0.831,9.7,30.9,40.6,23.8,8,3,13.5,18.5,109.5
14,2022-2023,Los Angeles Lakers,82,242.4,42.9,89,0.482,10.8,31.2,0.346,32.1,57.8,0.555,20.6,26.6,0.775,10,35.7,45.7,25.3,6.4,4.6,14.1,17.9,117.2
