NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Jordan Clarkson,Uta,G,30.8,61,32.6,27.8,15.3,245,0.816,572,0.53,459,0.338,0.519,0.558,20.8,4.0,4.4,0.5,0.2,3.0,24.9,25.3,29.3,8.8,108.6,115.8
Tyrese Haliburton,Ind,G,23.1,56,33.6,23.9,14.4,203,0.867,439,0.572,402,0.4,0.586,0.624,20.7,3.7,10.4,1.6,0.4,2.5,24.4,31.2,34.8,11.0,128.9,119.0
Jerami Grant,Por,F,29.1,63,35.6,22.8,11.3,342,0.813,554,0.523,359,0.401,0.554,0.606,20.5,4.5,2.4,0.8,0.8,1.8,25.0,22.9,27.3,6.8,117.1,116.1
Dejounte Murray,Atl,G,26.6,74,36.4,24.4,10.8,190,0.832,932,0.514,387,0.344,0.514,0.54,20.5,5.3,6.1,1.5,0.3,2.2,25.7,26.5,31.8,9.6,111.9,115.4
Bam Adebayo,Mia,C-F,25.7,75,34.6,25.3,14.4,402,0.806,1102,0.545,12,0.083,0.541,0.592,20.4,9.2,3.2,1.2,0.8,2.5,29.6,23.6,32.8,9.8,116.0,105.6
Jordan Poole,Gol,G,23.8,82,30.0,29.2,16.5,415,0.87,641,0.524,637,0.336,0.514,0.573,20.4,2.7,4.5,0.8,0.3,3.1,23.2,24.9,27.7,8.4,109.1,111.5
Tyrese Maxey,Phi,G,22.4,60,33.6,24.1,8.1,213,0.845,543,0.514,370,0.432,0.568,0.605,20.3,2.9,3.5,0.8,0.1,1.3,23.2,23.8,26.8,7.0,120.2,111.8
Kelly Oubre Jr.,Cha,F-G,27.3,48,32.2,26.5,7.2,208,0.76,480,0.51,339,0.319,0.497,0.534,20.3,5.2,1.1,1.4,0.4,1.3,25.4,21.4,26.6,6.1,106.4,109.2
Tyler Herro,Mia,G,23.2,67,34.9,25.6,12.5,182,0.934,572,0.497,537,0.378,0.531,0.566,20.1,5.4,4.2,0.8,0.2,2.4,25.5,24.3,29.7,8.8,109.2,112.0
Paolo Banchero,Orl,F,20.4,72,33.7,27.5,15.1,534,0.738,837,0.471,285,0.298,0.465,0.529,20.0,6.9,3.7,0.8,0.5,2.8,26.9,23.7,30.6,9.5,105.0,109.8
Jamal Murray,Den,G,26.1,65,32.8,26.1,12.2,216,0.833,609,0.494,432,0.398,0.537,0.571,20.0,4.0,6.2,1.0,0.2,2.2,23.9,26.1,30.1,9.7,116.1,113.7
RJ Barrett,Nyk,F-G,22.8,73,33.9,26.2,12.2,392,0.74,786,0.495,390,0.31,0.485,0.531,19.6,5.1,2.8,0.4,0.2,2.2,24.7,22.4,27.4,7.7,106.8,111.3
Jrue Holiday,Mil,G,32.8,67,32.6,25.0,16.1,177,0.859,612,0.542,411,0.384,0.556,0.586,19.3,5.1,7.4,1.2,0.4,2.9,24.3,26.6,31.7,11.0,117.7,109.5
Fred VanVleet,Tor,G,29.1,69,36.7,23.2,11.2,283,0.898,506,0.455,606,0.342,0.486,0.54,19.3,4.1,7.2,1.8,0.6,2.0,23.4,26.5,30.6,9.0,116.6,109.8
Kevin Porter Jr.,Hou,G-F,22.9,59,34.3,24.3,17.5,264,0.784,499,0.501,385,0.366,0.522,0.565,19.2,5.3,5.7,1.4,0.3,3.2,24.5,24.9,30.2,9.7,112.2,114.4
Domantas Sabonis,Sac,F-C,26.9,79,34.6,21.3,19.7,438,0.742,855,0.639,83,0.373,0.632,0.668,19.1,12.3,7.3,0.8,0.5,2.9,31.4,26.4,38.7,13.8,132.5,105.7
Jaren Jackson Jr.,Mem,F-C,23.6,63,28.4,24.7,11.5,306,0.788,540,0.585,282,0.355,0.567,0.613,18.6,6.8,1.0,1.0,3.0,1.7,25.4,19.6,26.3,7.1,117.8,100.3
Franz Wagner,Orl,F,21.6,80,32.6,23.5,13.0,322,0.842,758,0.544,360,0.361,0.543,0.589,18.6,4.1,3.5,1.0,0.2,2.1,22.7,22.1,26.2,7.9,115.0,110.9
Deandre Ayton,Pho,C,24.7,67,30.4,22.9,11.9,200,0.76,863,0.597,24,0.292,0.592,0.617,18.0,10.0,1.7,0.6,0.8,1.8,27.9,19.7,29.6,8.9,118.8,104.7
Myles Turner,Ind,C-F,27.0,62,29.4,22.0,12.3,276,0.783,484,0.638,250,0.372,0.611,0.651,18.0,7.5,1.4,0.6,2.3,1.7,25.5,19.4,26.9,7.8,121.6,107.9
D'Angelo Russell,Min,G,27.1,54,32.9,22.8,16.8,167,0.856,348,0.546,378,0.392,0.567,0.605,17.9,3.1,6.2,1.1,0.4,2.7,21.0,24.1,27.1,8.5,115.4,112.9
Spencer Dinwiddie,Dal,G,30.0,53,34.1,21.9,11.4,207,0.821,353,0.504,341,0.405,0.555,0.599,17.7,3.1,5.2,0.7,0.3,1.7,20.8,23.0,26.1,7.7,120.7,114.2
Nikola Vucevic,Chi,C,32.5,82,33.5,21.9,10.8,158,0.835,801,0.594,347,0.349,0.573,0.594,17.6,11.0,3.2,0.7,0.7,1.7,28.7,20.9,31.9,10.2,117.9,105.9
Michael Porter Jr.,Den,F,24.8,62,29.0,22.7,7.7,120,0.8,363,0.579,454,0.414,0.602,0.621,17.4,5.5,1.0,0.6,0.5,1.1,22.9,18.5,24.0,6.3,118.3,110.8
Gary Trent Jr.,Tor,G-F,24.2,66,32.1,21.7,5.6,205,0.839,485,0.493,450,0.369,0.522,0.56,17.4,2.6,1.6,1.6,0.2,0.8,20.0,19.0,21.6,5.2,116.2,113.8
Mikal Bridges,Pho,F,26.6,56,36.4,19.2,9.3,174,0.897,503,0.503,261,0.387,0.529,0.574,17.2,4.3,3.6,1.2,0.8,1.4,21.6,20.8,25.2,7.1,118.4,112.6
Norman Powell,Lac,G,29.9,60,26.1,26.0,12.4,277,0.812,423,0.534,287,0.397,0.559,0.612,17.0,2.9,1.8,0.8,0.3,1.7,19.9,18.8,21.7,6.8,115.5,110.2
O.G. Anunoby,Tor,F,25.7,67,35.6,19.5,13.0,167,0.838,518,0.539,367,0.387,0.556,0.586,16.8,5.0,2.0,1.9,0.7,2.0,21.7,18.7,23.7,6.2,112.6,108.6
Buddy Hield,Ind,G,30.3,80,31.0,20.9,11.8,129,0.822,361,0.518,677,0.425,0.596,0.614,16.8,5.0,2.8,1.2,0.3,1.7,21.8,19.6,24.6,8.0,115.5,115.4
Bennedict Mathurin,Ind,G-F,20.8,78,28.5,24.6,13.8,452,0.83,641,0.488,310,0.323,0.487,0.566,16.7,4.1,1.5,0.6,0.2,1.9,20.8,18.2,22.2,6.6,109.1,116.1
Josh Giddey,Okc,G,20.5,76,31.2,24.5,15.9,145,0.731,884,0.524,234,0.325,0.516,0.533,16.6,7.9,6.2,0.8,0.4,2.8,24.5,22.8,30.6,12.0,109.4,110.6
Christian Wood,Dal,F,27.5,67,25.9,26.4,13.6,281,0.772,490,0.594,279,0.376,0.583,0.624,16.6,7.3,1.8,0.4,1.1,1.8,24.0,18.4,25.8,9.3,117.1,106.8
Aaron Gordon,Den,F,27.6,68,30.3,21.1,11.4,312,0.609,588,0.628,173,0.347,0.603,0.617,16.3,6.6,3.0,0.8,0.8,1.4,22.9,19.3,25.8,9.1,124.9,111.3
